,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
49,0,0,1,0,2,0,2,1,1,6,1,0,1,0,0,2.0,0
50,0,1,0,1,0,4,2,1,1,3,1,1,0,0,3,3.0,0
51,1,1,1,0,2,4,1,1,5,0,1,0,0,1,6,2.0,0
52,0,0,1,0,0,1,2,1,1,9,0,0,1,0,0,2.0,2
53,0,1,1,2,1,2,3,1,1,3,1,0,0,0,5,4.0,2
54,0,0,0,1,0,4,2,1,1,4,1,0,0,0,0,3.0,0
55,0,0,1,0,0,4,2,1,1,3,1,0,0,0,1,2.0,1
56,0,1,1,0,0,4,2,1,1,4,1,0,1,0,1,2.0,1
57,0,0,1,0,0,0,3,3,1,5,1,0,0,0,5,1.0,0
58,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,1
59,0,0,1,0,1,1,3,1,1,8,0,0,1,0,0,2.0,1
60,1,1,1,0,0,1,2,2,1,7,0,0,0,0,0,1.0,0
61,1,1,0,1,1,0,3,1,1,2,1,0,0,0,2,3.0,0
62,0,1,1,0,0,4,3,1,1,5,1,0,1,0,5,2.0,2
63,1,1,1,0,1,4,3,1,1,4,1,0,0,0,2,2.0,1
64,1,1,0,0,0,0,2,3,2,0,1,0,0,0,10,1.0,2
65,0,0,1,0,0,4,2,1,1,2,1,1,0,0,11,2.0,0
66,1,0,1,1,0,4,2,1,1,3,1,0,0,0,1,3.0,0
67,0,0,1,2,0,0,3,1,1,2,1,0,0,0,4,4.0,0
68,0,0,0,0,0,4,2,1,1,1,1,0,0,0,1,2.0,0
69,0,0,1,0,0,4,3,1,1,4,1,0,0,1,7,2.0,3
70,1,0,1,0,0,0,3,3,1,1,1,0,1,0,1,1.0,2
71,1,1,0,2,0,4,2,1,1,4,1,0,0,0,1,4.0,3
72,0,0,0,0,1,0,3,1,1,7,1,0,1,0,0,2.0,0
73,0,0,1,0,0,1,2,1,1,8,0,0,1,0,0,2.0,2
74,0,0,1,1,0,4,2,1,1,1,1,1,1,0,3,3.0,1
75,0,1,1,0,1,0,2,1,1,4,1,0,0,1,5,2.0,2
76,0,1,0,0,1,0,3,1,1,3,1,1,1,0,0,2.0,0
77,0,0,0,0,0,4,3,3,1,1,1,0,0,0,5,1.0,0
78,0,1,1,0,0,4,2,1,1,2,1,1,0,0,3,2.0,1
79,0,1,1,1,0,4,3,2,1,4,1,0,0,0,5,2.0,0
80,0,0,1,0,0,0,2,0,1,5,1,0,0,0,1,2.0,0
81,1,1,1,0,0,4,2,1,1,1,1,0,0,1,3,2.0,0
82,0,1,1,0,0,4,3,0,1,4,1,0,0,1,8,2.0,3
83,0,0,0,2,0,4,3,1,1,2,1,0,0,0,4,4.0,2
84,1,1,1,0,0,1,2,1,1,9,0,0,1,0,0,2.0,1
85,1,1,0,0,0,4,2,1,2,5,1,0,0,0,1,2.0,2
86,1,1,1,1,0,4,2,1,1,2,1,1,0,1,6,3.0,2
87,0,0,1,0,1,0,2,4,1,3,1,1,1,1,5,1.0,3
88,0,1,1,0,1,0,2,1,1,7,1,0,0,0,2,2.0,2
89,1,0,0,0,1,0,1,1,1,3,1,1,1,0,2,2.0,3
90,0,0,1,0,0,2,2,1,1,7,1,1,0,0,11,2.0,1
91,0,1,1,0,0,4,2,1,1,6,1,0,0,0,12,2.0,1
92,1,1,1,1,0,0,2,1,1,2,1,0,0,0,1,3.0,0
93,0,0,1,0,0,0,2,3,1,6,1,0,0,0,4,1.0,1
94,0,0,1,0,0,1,2,1,1,9,0,0,0,0,0,2.0,1
95,1,0,1,0,0,1,2,1,1,4,0,0,1,0,0,2.0,0
96,1,0,1,0,1,0,2,1,1,9,1,0,0,0,10,2.0,3
97,1,1,1,0,0,4,2,0,1,0,1,0,0,0,6,2.0,3
98,1,1,1,0,1,0,3,3,1,1,1,0,0,1,3,1.0,0
99,0,0,0,0,1,2,2,2,1,6,1,0,1,1,7,1.0,2
100,0,0,1,0,0,4,3,1,1,8,1,0,0,0,12,2.0,0
101,0,0,1,0,0,4,2,1,1,6,1,1,1,0,2,2.0,0
102,0,0,0,1,0,0,2,1,1,2,1,0,0,0,2,3.0,0
103,1,1,0,0,1,4,3,1,1,4,1,1,1,0,2,2.0,0
104,1,1,1,0,0,0,3,3,1,4,1,0,1,0,3,1.0,0
105,1,1,1,0,0,0,2,1,1,1,1,0,0,0,1,2.0,0
106,0,0,0,1,0,4,2,1,1,4,1,0,1,0,0,3.0,3
107,0,1,0,1,1,4,3,1,1,0,1,0,0,0,0,3.0,0
108,0,0,1,0,0,4,3,3,1,1,1,0,1,0,5,1.0,1
109,0,0,1,0,0,4,2,1,1,8,1,1,1,0,4,2.0,0
110,1,1,1,0,1,0,3,1,1,2,1,0,0,0,2,2.0,3
111,1,1,1,1,0,4,2,1,1,4,1,0,0,0,6,3.0,2
112,0,0,0,0,0,4,2,3,1,5,1,0,1,0,1,1.0,0
113,0,0,1,2,0,0,2,1,1,5,1,0,0,0,13,4.0,2
114,1,1,1,2,0,4,3,1,1,2,1,0,0,1,2,4.0,2
115,0,0,0,0,0,1,2,1,1,7,0,0,0,0,0,2.0,3
116,0,1,1,1,1,4,2,1,1,3,1,0,0,0,2,3.0,0
117,0,0,1,0,0,0,2,1,1,4,1,0,0,0,3,2.0,1
118,0,0,1,0,0,4,3,1,1,6,1,0,1,0,3,2.0,3
119,0,0,1,2,0,4,2,1,1,2,1,1,1,0,13,4.0,0
120,0,0,1,0,0,1,2,4,1,7,0,0,0,0,0,1.0,0
121,0,0,0,0,0,4,2,1,2,5,1,1,1,0,3,2.0,2
122,0,1,1,2,1,2,3,1,1,2,1,0,0,0,5,4.0,2
123,0,0,1,0,0,4,2,1,1,6,1,0,0,0,4,2.0,3
124,0,1,1,2,0,0,2,1,1,4,1,0,0,0,8,4.0,3
125,1,0,1,0,1,0,2,1,1,2,1,0,0,0,2,2.0,2
126,0,1,0,1,0,0,2,3,2,2,1,0,0,0,1,2.0,2
127,1,1,1,1,1,0,3,1,1,5,1,0,1,1,1,3.0,1
128,0,0,1,1,0,4,2,1,1,3,1,0,0,0,1,3.0,2
129,1,0,0,1,1,4,2,1,1,5,1,0,0,0,1,3.0,0
130,0,0,1,0,1,0,2,3,4,4,1,0,0,0,1,1.0,0
131,0,1,0,0,0,0,2,0,5,3,1,0,1,0,0,2.0,2
132,0,0,0,0,0,0,3,1,1,1,1,1,1,0,6,2.0,2
133,0,1,0,1,1,4,3,1,1,3,1,0,0,0,2,3.0,1
134,0,1,1,0,0,1,2,4,1,8,0,0,0,0,0,1.0,0
135,1,1,0,1,1,0,3,2,1,4,1,0,1,0,2,2.0,1
136,0,0,0,1,0,0,2,0,1,2,1,0,0,0,8,3.0,1
137,0,1,1,1,0,0,2,1,1,3,1,0,0,0,3,3.0,3
138,0,0,1,0,0,1,2,1,1,9,0,0,0,0,0,2.0,0
139,0,1,0,0,0,0,2,1,1,3,1,0,1,0,0,2.0,2
140,1,1,1,1,0,4,3,1,5,2,1,1,0,0,1,3.0,0
141,0,1,1,1,0,0,3,0,1,1,1,0,0,1,5,3.0,0
142,1,1,1,0,1,4,3,1,1,8,1,0,1,0,2,2.0,0
143,0,1,1,0,1,0,2,1,1,3,1,0,0,1,5,2.0,2
144,0,1,0,0,0,4,2,1,1,1,1,0,0,0,0,2.0,0
145,0,1,0,0,0,2,2,1,1,6,1,0,1,0,7,2.0,0
146,0,0,0,0,0,4,3,1,1,3,1,1,1,0,2,2.0,0
147,0,0,1,0,0,4,3,1,1,2,1,0,0,0,3,2.0,0
148,1,1,1,0,0,4,2,1,1,3,1,0,1,0,0,2.0,1
149,0,0,1,2,0,4,2,1,1,3,1,0,0,0,1,4.0,3
150,0,1,0,1,0,4,3,1,1,2,1,0,0,0,1,3.0,2
151,1,1,1,0,1,0,2,1,1,4,1,0,0,0,6,2.0,2
152,0,1,1,0,1,4,2,2,1,1,1,1,0,0,7,1.0,2
153,1,1,1,0,0,0,2,1,1,5,1,0,0,0,6,2.0,2
154,0,0,0,0,0,4,2,1,1,6,1,1,0,0,0,2.0,3
155,0,0,1,0,0,1,2,1,1,7,0,0,0,0,0,2.0,2
156,1,0,1,1,0,4,2,2,1,5,1,0,0,0,1,2.0,2
157,1,0,1,2,0,4,2,1,1,1,1,0,0,0,0,4.0,2
158,1,0,1,1,0,2,3,1,1,1,1,0,0,0,5,3.0,2
159,0,0,1,0,0,1,3,1,1,8,0,0,1,0,0,2.0,3
160,0,1,1,1,0,4,2,1,1,5,1,0,0,0,3,3.0,0
161,1,1,1,2,1,4,2,1,1,3,1,0,1,0,2,4.0,2
162,0,0,0,1,2,4,2,2,1,4,1,1,0,0,2,2.0,3
163,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,1
164,1,1,1,0,0,4,2,1,1,7,1,0,0,1,10,2.0,0
165,0,0,1,0,0,2,3,1,1,7,1,1,1,0,0,2.0,0
166,0,0,1,0,2,1,2,4,1,7,0,0,1,0,0,1.0,0
167,1,1,0,0,1,0,2,1,1,4,1,1,1,0,6,2.0,0
168,0,0,0,0,0,4,2,1,1,6,1,1,1,0,0,2.0,1
169,0,0,1,1,0,4,2,2,1,3,1,0,0,0,0,2.0,0
170,1,1,1,1,1,0,2,1,1,5,1,0,1,1,5,3.0,3
171,0,0,0,0,0,4,2,1,1,4,1,0,0,0,12,2.0,0
172,1,0,1,1,0,4,2,1,1,4,1,0,0,0,0,3.0,3
173,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,1
174,0,0,1,0,0,0,3,1,1,1,1,0,0,1,3,2.0,0
175,1,0,1,0,0,4,2,1,1,1,1,0,0,0,6,2.0,0
176,0,1,0,0,1,2,3,1,1,5,1,1,0,0,2,2.0,1
177,0,0,0,0,0,0,3,3,4,2,1,0,0,0,0,1.0,1
178,1,0,0,0,0,1,2,1,1,7,0,0,0,0,0,2.0,0
179,1,1,1,0,1,0,2,1,4,5,1,0,0,0,6,2.0,1
180,0,1,1,0,3,0,3,2,1,7,1,1,1,0,2,1.0,3
181,0,0,1,0,0,1,2,1,1,7,0,0,0,0,0,2.0,0
182,0,0,1,2,0,4,3,1,1,1,1,1,0,0,0,4.0,0
183,0,0,1,0,0,1,2,1,1,8,0,0,1,0,0,2.0,2
184,1,1,0,0,0,4,2,1,3,4,1,0,0,1,6,2.0,3
185,0,0,1,0,0,4,0,4,1,5,1,1,1,0,11,1.0,3
186,0,1,1,0,0,4,3,1,1,6,1,0,0,0,14,2.0,0
187,0,1,1,1,0,0,2,1,1,3,1,0,0,0,1,3.0,0
188,0,0,0,0,0,1,2,4,1,7,0,0,0,0,0,1.0,1
189,0,0,1,0,0,4,2,1,1,5,1,0,0,0,0,2.0,2
190,0,0,1,0,0,1,2,3,1,8,0,0,1,0,0,1.0,0
191,0,0,0,0,0,1,2,1,1,7,0,0,0,0,0,2.0,1
192,0,0,1,0,0,4,3,1,1,3,1,0,0,0,1,2.0,0
193,1,1,0,0,0,0,2,1,1,4,1,0,0,0,10,2.0,1
194,1,1,0,1,1,2,3,1,1,2,1,1,1,0,4,3.0,1
195,0,0,1,0,0,4,2,0,1,1,1,0,0,0,1,2.0,0
196,1,1,1,0,0,4,2,1,1,1,1,0,0,0,2,2.0,2
197,1,0,1,1,1,4,2,0,1,2,1,0,0,0,3,3.0,3
198,0,0,1,2,0,2,2,1,1,3,1,1,0,0,7,4.0,1
199,0,0,1,2,1,4,2,1,1,4,1,0,1,0,3,4.0,0
200,1,1,1,0,0,4,3,1,1,3,1,0,0,0,2,2.0,0
201,0,1,1,0,0,4,3,1,1,2,1,0,0,0,5,2.0,0
202,0,0,0,0,0,4,3,1,1,3,1,1,0,0,5,2.0,0
203,1,1,1,0,1,0,2,1,1,2,1,0,1,0,1,2.0,2
204,1,0,0,0,1,4,2,1,2,5,1,1,1,0,2,2.0,3
205,0,0,1,0,0,4,2,3,4,5,1,0,0,0,1,1.0,1
206,1,0,0,0,1,2,2,1,1,2,1,1,1,0,5,2.0,3
207,0,1,0,0,0,4,2,4,1,3,1,0,0,0,15,1.0,0
208,0,0,0,2,0,2,3,1,1,2,1,0,0,1,5,4.0,0
209,0,0,1,0,0,1,2,1,1,7,0,0,1,0,0,2.0,1
210,0,1,1,1,0,4,3,2,1,4,1,0,0,0,5,2.0,0
211,0,0,1,0,1,0,3,2,1,5,1,1,1,0,8,1.0,3
212,1,1,1,1,1,4,3,1,1,4,1,0,0,0,2,3.0,0
213,0,0,0,0,0,4,2,1,5,2,1,1,0,0,10,2.0,0
214,0,0,0,0,0,1,3,4,1,9,0,0,0,0,0,1.0,1
215,0,0,1,0,0,4,2,1,1,8,1,0,0,0,1,2.0,0
216,0,0,0,0,0,4,2,3,1,5,1,1,1,0,5,1.0,2
217,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,2
218,0,0,0,0,0,1,2,1,1,7,0,0,1,0,0,2.0,2
219,0,1,0,0,2,4,3,1,1,3,1,1,0,0,2,2.0,0
220,0,0,1,0,0,1,2,3,1,8,0,0,0,0,0,1.0,2
221,0,0,0,1,0,0,3,1,1,3,1,0,0,1,8,3.0,2
222,1,0,1,0,0,4,2,0,1,5,1,0,0,0,10,2.0,0
223,0,1,0,0,0,0,2,1,2,7,1,0,1,0,8,2.0,1
224,0,0,0,0,1,4,3,1,1,5,1,1,1,0,2,2.0,1
225,1,1,0,1,0,4,2,1,1,2,1,0,0,0,0,3.0,0
226,0,1,1,2,1,0,3,1,5,2,1,0,0,0,2,4.0,3
227,1,1,1,0,0,4,2,1,1,6,1,0,0,0,0,2.0,3
228,1,0,1,0,1,0,3,3,4,1,1,0,1,0,3,1.0,0
229,0,0,1,0,0,1,3,1,1,7,0,0,0,0,0,2.0,3
230,0,0,0,0,0,4,2,1,1,5,1,1,0,0,7,2.0,2
231,0,1,0,0,0,1,2,1,1,8,0,0,1,0,0,2.0,1
232,0,1,1,0,0,4,3,0,1,1,1,0,0,0,3,2.0,1
233,1,1,1,0,0,4,2,1,1,4,1,0,0,0,0,2.0,1
234,1,1,1,0,1,0,2,1,1,6,1,0,1,1,6,2.0,3
235,1,0,1,0,0,0,3,0,1,4,1,0,0,0,5,2.0,0
236,1,1,0,0,0,0,2,1,1,5,1,0,0,0,6,2.0,1
237,0,0,0,0,0,2,2,1,1,3,1,1,1,0,0,2.0,1
238,1,0,0,0,0,4,2,1,1,4,1,1,0,0,1,2.0,1
239,0,1,1,1,1,4,3,2,1,3,1,0,1,1,3,2.0,2
240,1,1,0,0,1,2,3,1,3,2,1,0,0,0,0,2.0,0
241,1,0,0,2,0,4,2,1,1,2,1,0,1,0,1,4.0,1
242,0,0,0,2,0,0,2,1,1,3,1,1,0,0,8,4.0,0
243,0,0,1,0,0,0,2,3,1,4,1,0,0,0,3,1.0,0
244,1,0,0,1,0,4,2,3,1,5,1,0,0,0,1,2.0,0
245,0,1,1,1,0,2,2,1,1,3,1,0,0,0,1,3.0,1
246,0,1,1,0,0,4,3,1,1,7,1,0,0,0,8,2.0,2
247,0,0,1,0,0,4,2,1,1,6,1,0,0,1,11,2.0,1
248,1,1,1,2,0,0,3,1,5,3,1,0,0,0,6,4.0,3
249,1,0,0,0,0,4,3,1,1,4,1,0,0,0,5,2.0,2
250,1,0,1,1,0,0,2,1,2,2,1,0,0,0,4,3.0,0
251,0,0,0,0,0,1,2,1,1,7,0,0,1,0,0,2.0,0
252,0,1,0,1,0,4,1,1,4,2,1,0,0,0,1,3.0,0
253,0,0,1,0,0,0,3,3,1,6,1,1,1,0,5,1.0,1
254,0,1,1,0,0,0,2,1,1,1,1,0,0,0,5,2.0,2
255,0,0,1,1,0,2,3,1,1,1,1,0,0,1,4,3.0,0
256,0,0,1,2,1,0,2,3,1,3,1,0,0,0,3,3.0,1
257,0,0,1,0,0,1,2,4,1,9,0,0,0,0,0,1.0,1
258,0,0,1,0,1,4,2,2,1,4,1,0,0,0,1,1.0,1
259,0,1,1,1,1,4,2,1,1,3,1,0,0,0,1,3.0,3
260,0,0,1,1,0,4,3,0,1,3,1,0,0,0,3,3.0,2
261,0,0,1,2,0,4,2,1,1,3,1,1,0,0,5,4.0,1
262,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,2.0,3
263,0,0,0,1,0,4,1,1,5,1,1,0,0,0,0,3.0,2
264,0,0,0,0,0,1,2,1,1,8,0,0,0,0,0,2.0,2
265,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2.0,0
266,0,0,1,0,0,4,3,1,1,7,1,1,1,0,3,2.0,0
267,0,1,1,0,0,1,3,4,1,7,0,0,0,1,0,1.0,2
268,0,0,1,0,2,4,3,2,1,8,1,1,1,0,8,1.0,2
269,0,0,1,0,1,0,2,3,1,3,1,0,0,0,3,1.0,1
270,1,1,0,2,0,4,3,1,1,2,1,0,0,0,5,4.0,2
271,0,1,0,0,0,4,3,1,5,1,1,1,1,0,5,2.0,0
272,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,0
273,1,1,0,2,0,4,2,1,5,5,1,0,0,0,0,4.0,1
274,1,1,1,0,0,2,3,1,1,3,1,0,0,0,2,2.0,3
275,1,1,0,1,1,2,3,1,1,2,1,0,0,0,0,3.0,0
276,0,0,0,0,0,1,2,2,1,7,0,0,0,0,0,1.0,0
277,1,0,1,1,0,0,2,1,5,0,1,0,0,0,1,3.0,1
278,0,0,1,0,0,4,3,1,1,3,1,1,0,0,5,2.0,0
279,1,1,1,0,0,1,2,1,1,7,0,0,0,0,0,2.0,2
280,0,0,1,0,0,4,2,1,1,8,1,0,1,0,13,2.0,2
281,0,0,1,0,0,1,2,1,1,9,0,0,1,0,0,2.0,0
282,1,0,0,0,0,1,2,3,1,7,0,0,0,0,0,1.0,0
283,1,1,1,0,1,0,3,1,1,3,1,0,0,0,6,2.0,2
284,1,1,1,0,0,1,2,0,1,8,0,0,1,0,0,2.0,1
285,0,0,1,0,0,4,2,4,1,5,1,1,0,0,1,1.0,0
286,1,0,1,1,2,4,1,1,1,3,1,1,1,0,0,3.0,2
287,0,0,0,0,0,0,2,1,1,5,1,0,0,0,0,2.0,1
288,0,0,1,0,1,4,2,3,1,2,1,0,0,0,5,1.0,3
289,1,0,0,3,0,2,2,1,1,3,1,0,0,1,0,5.0,0
290,0,0,0,2,0,0,2,1,1,2,1,1,1,0,1,4.0,1
291,0,0,0,0,0,2,3,1,1,2,1,1,1,0,5,2.0,1
292,0,0,0,0,0,0,2,1,1,3,1,0,1,0,0,2.0,2
293,0,1,1,0,1,1,3,1,1,7,0,0,1,0,0,2.0,0
294,1,1,1,0,0,4,2,1,1,1,1,0,0,0,1,2.0,1
295,0,0,0,0,0,2,3,2,5,6,1,1,0,0,16,1.0,2
296,1,1,0,0,0,4,1,2,1,1,1,1,1,0,2,1.0,0
297,0,0,0,0,1,4,2,0,3,0,1,1,1,0,3,2.0,1
298,1,1,1,0,1,4,3,1,1,0,1,0,0,0,3,2.0,0
299,0,0,1,0,0,0,2,1,1,2,1,0,0,1,1,2.0,3
300,1,1,0,2,1,0,2,1,1,4,1,0,1,0,1,4.0,3
301,1,0,0,0,0,0,2,1,1,3,1,1,1,0,1,2.0,1
302,0,1,1,0,1,0,2,3,1,6,1,0,0,0,5,1.0,1
303,1,1,1,0,0,4,2,1,1,3,1,0,0,0,4,2.0,1
304,0,0,1,0,0,1,2,1,1,6,0,0,1,0,0,2.0,0
305,0,0,0,2,1,2,2,1,1,6,1,0,0,0,10,4.0,2
306,0,0,1,0,0,4,2,1,2,7,1,0,0,0,0,2.0,2
307,1,1,1,2,1,0,3,1,1,5,1,1,1,0,2,4.0,1
308,1,1,1,0,0,4,2,1,1,5,1,0,0,0,3,2.0,0
309,0,0,0,0,0,0,2,0,1,4,1,1,1,0,1,2.0,3
310,0,1,1,0,1,0,3,1,1,2,1,0,0,0,2,2.0,2
311,1,0,1,0,0,4,2,3,1,5,1,1,1,0,6,1.0,1
312,0,0,1,0,0,4,3,1,1,5,1,0,0,0,5,2.0,1
313,0,0,1,0,0,2,3,1,1,6,1,0,1,0,5,2.0,1
314,0,0,0,0,0,4,2,1,1,5,1,0,1,0,0,2.0,0
315,0,0,0,0,0,4,3,1,1,7,1,0,0,0,5,2.0,0
316,0,1,1,0,1,4,3,1,1,7,1,1,1,0,2,2.0,2
317,0,0,1,0,0,1,2,0,1,8,0,0,0,0,0,2.0,0
318,0,0,1,0,0,2,2,4,1,8,1,0,1,0,6,1.0,0
319,0,0,0,1,0,0,2,0,1,2,1,0,0,0,8,3.0,1
320,0,1,0,2,0,4,3,0,2,1,1,1,1,0,3,4.0,2
321,1,1,0,4,0,0,2,1,1,4,1,0,0,0,10,6.0,1
322,1,0,1,1,0,0,2,1,1,4,1,0,0,0,6,3.0,0
323,1,1,1,1,1,0,2,1,1,5,1,0,0,0,0,3.0,1
324,1,1,1,0,0,4,2,1,1,6,1,0,1,0,17,2.0,0
325,1,1,1,0,0,4,3,3,5,0,1,1,1,0,0,1.0,1
326,0,1,0,0,0,4,2,4,1,3,1,0,0,0,3,1.0,0
327,0,0,0,0,0,0,2,1,2,3,1,1,1,0,3,2.0,2
328,1,1,1,1,1,4,2,1,1,3,1,0,1,0,1,3.0,1
329,0,0,1,0,0,2,2,2,1,3,1,0,0,0,0,1.0,0
330,0,0,0,0,1,2,2,2,1,6,1,0,1,1,7,1.0,1
331,1,1,0,0,0,4,3,1,1,4,1,0,0,0,0,2.0,2
332,0,0,0,0,0,4,2,1,1,5,1,0,0,0,7,2.0,1
333,1,1,1,0,0,2,3,1,1,3,1,0,0,0,2,2.0,0
334,0,0,0,1,1,4,2,2,1,5,1,0,0,0,5,2.0,3
335,0,0,1,0,0,2,3,1,1,6,1,1,1,0,1,2.0,2
336,0,1,1,0,1,0,1,1,1,2,1,0,1,1,2,2.0,2
337,1,0,1,0,0,0,2,1,1,6,1,1,1,0,10,2.0,0
338,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,1
339,0,0,1,2,0,4,2,1,1,2,1,0,1,0,1,4.0,2
340,0,1,1,0,0,4,2,1,1,5,1,0,0,0,3,2.0,1
341,0,1,1,2,0,4,1,1,1,2,1,1,1,0,5,4.0,1
342,0,1,1,4,0,4,3,1,1,3,1,0,0,0,5,6.0,0
343,0,1,1,0,0,1,2,1,1,7,0,0,0,0,0,2.0,2
344,0,1,1,0,0,4,2,1,1,7,1,0,0,0,0,2.0,2
345,0,0,1,0,0,1,2,1,1,5,0,0,0,0,0,2.0,0
346,1,0,0,0,0,4,3,3,1,1,1,1,0,0,0,1.0,2
347,0,0,0,1,0,4,2,1,1,3,1,0,1,0,1,3.0,0
348,1,1,1,0,0,4,2,1,1,0,1,0,0,0,1,2.0,2
349,1,0,0,0,0,0,2,0,1,6,1,0,1,0,6,2.0,0
350,0,0,1,0,3,2,3,1,1,5,1,0,0,1,2,2.0,0
351,0,0,1,0,1,4,2,1,1,5,1,0,0,0,4,2.0,2
352,0,0,1,0,0,0,2,1,1,5,1,0,0,0,13,2.0,1
353,0,0,0,0,0,4,2,0,1,1,1,1,0,0,7,2.0,0
354,1,1,1,0,0,4,2,1,1,1,1,1,0,0,1,2.0,2
355,0,1,1,0,0,0,3,3,5,1,1,0,0,0,5,1.0,1
356,1,0,1,0,0,4,2,1,4,4,1,1,0,0,1,2.0,0
357,1,1,1,0,0,1,3,1,1,9,0,0,0,0,0,2.0,2
358,1,1,1,0,0,1,2,1,1,8,0,0,1,0,0,2.0,2
359,0,0,1,1,0,4,2,1,1,1,1,1,1,0,1,3.0,3
360,0,0,1,0,0,0,3,2,1,4,1,0,0,0,2,1.0,0
361,1,1,1,2,0,4,2,1,4,3,1,0,0,0,0,4.0,0
362,0,0,0,0,0,1,2,4,1,8,0,0,0,0,0,1.0,0
363,1,1,0,0,1,4,3,1,1,3,1,1,0,0,8,2.0,1
